날짜,PBR
2017-01-02,-0.054443955
2017-01-03,-0.041591167
2017-01-04,-0.017233968
2017-01-05,-0.013699412
2017-01-06,-0.013875008
2017-01-09,-0.010787606
2017-01-10,-0.016162157
2017-01-11,-0.028376698
2017-01-12,-0.039548278
2017-01-13,-0.04034841
2017-01-16,-0.032574058
2017-01-17,-0.036980867
2017-01-18,-0.048463464
2017-01-19,-0.05278945
2017-01-20,-0.07058108
2017-01-23,-0.09933889
2017-01-24,-0.10935688
2017-01-25,-0.11799431
2017-01-26,-0.10228562
2017-01-31,-0.10152161
2017-02-01,-0.091413856
2017-02-02,-0.08904767
2017-02-03,-0.101198554
2017-02-06,-0.09558892
2017-02-07,-0.086270094
2017-02-08,-0.102844834
2017-02-09,-0.1133939
2017-02-10,-0.12878752
2017-02-13,-0.1414715
2017-02-14,-0.15115213
2017-02-15,-0.16318834
2017-02-16,-0.15836334
2017-02-17,-0.15241575
2017-02-20,-0.16079462
2017-02-21,-0.16279852
2017-02-22,-0.15540767
2017-02-23,-0.14435208
2017-02-24,-0.13470936
2017-02-27,-0.12817705
2017-02-28,-0.13060343
2017-03-02,-0.13017356
2017-03-03,-0.13682091
2017-03-06,-0.14065647
2017-03-07,-0.13142908
2017-03-08,-0.12514734
2017-03-09,-0.12676346
2017-03-10,-0.12558734
2017-03-13,-0.11606288
2017-03-14,-0.115766406
2017-03-15,-0.108376145
2017-03-16,-0.12292433
2017-03-17,-0.14072752
2017-03-20,-0.15362036
2017-03-21,-0.13020062
2017-03-22,-0.13923311
2017-03-23,-0.15922236
2017-03-24,-0.17174649
2017-03-27,-0.15858412
2017-03-28,-0.14777458
2017-03-29,-0.14498997
2017-03-30,-0.15208519
2017-03-31,-0.15408325
2017-04-03,-0.15053678
2017-04-04,-0.20548785
2017-04-05,-0.19476545
2017-04-06,-0.19461954
2017-04-07,-0.18354988
2017-04-10,-0.18950844
2017-04-11,-0.1968844
2017-04-12,-0.2071923
2017-04-13,-0.2173208
2017-04-14,-0.22145832
2017-04-17,-0.2127378
2017-04-18,-0.20629549
2017-04-19,-0.21168458
2017-04-20,-0.21600974
2017-04-21,-0.21963453
2017-04-24,-0.22164083
2017-04-25,-0.21700823
2017-04-26,-0.22128189
2017-04-27,-0.22104967
2017-04-28,-0.21074009
2017-05-02,-0.20309198
2017-05-04,-0.20959139
2017-05-08,-0.21510851
2017-05-10,-0.21328962
2017-05-11,-0.22190392
2017-05-12,-0.16635346
2017-05-15,-0.16997302
2017-05-16,-0.16828322
2017-05-17,-0.17689693
2017-05-18,-0.17552519
2017-05-19,-0.17913663
2017-05-22,-0.17751586
2017-05-23,-0.17524421
2017-05-24,-0.18542862
2017-05-25,-0.19230509
2017-05-26,-0.19843292
2017-05-29,-0.19962692
2017-05-30,-0.20336556
2017-05-31,-0.1884247
2017-06-01,-0.16912639
2017-06-02,-0.16642845
2017-06-05,-0.159253
2017-06-07,-0.1519289
2017-06-08,-0.14467132
2017-06-09,-0.1357845
2017-06-12,-0.12688231
2017-06-13,-0.12240863
2017-06-14,-0.116865754
2017-06-15,-0.11914194
2017-06-16,-0.12111497
2017-06-19,-0.10456991
2017-06-20,-0.12119949
2017-06-21,-0.12053883
2017-06-22,-0.10933566
2017-06-23,-0.10987687
2017-06-26,-0.1271714
2017-06-27,-0.124075174
2017-06-28,-0.1315192
2017-06-29,-0.11849165
2017-06-30,-0.11932814
2017-07-03,-0.12263107
2017-07-04,-0.11976373
2017-07-05,-0.12240088
2017-07-06,-0.11248791
2017-07-07,-0.11495757
2017-07-10,-0.12035227
2017-07-11,-0.122136235
2017-07-12,-0.12993836
2017-07-13,-0.115813494
2017-07-14,-0.1111753
2017-07-17,-0.100904346
2017-07-18,-0.088678
2017-07-19,-0.07918739
2017-07-20,-0.06932044
2017-07-21,-0.07134235
2017-07-24,-0.0724988
2017-07-25,-0.080379605
2017-07-26,-0.09875929
2017-07-27,-0.12127411
2017-07-28,-0.117028
2017-07-31,-0.109259725
2017-08-01,-0.10362923
2017-08-02,-0.09020388
2017-08-03,-0.08464873
2017-08-04,-0.083773375
2017-08-07,-0.065218806
2017-08-08,-0.064095974
2017-08-09,-0.07242608
2017-08-10,-0.08333337
2017-08-11,-0.096090674
2017-08-14,-0.0889554
2017-08-16,-0.08817518
2017-08-17,-0.080869555
2017-08-18,-0.075740814
2017-08-21,-0.06754756
2017-08-22,-0.05392611
2017-08-23,-0.063804984
2017-08-24,-0.06831741
2017-08-25,-0.06351161
2017-08-28,-0.06316185
2017-08-29,-0.0674119
2017-08-30,-0.05793214
2017-08-31,-0.05360794
2017-09-01,-0.043361306
2017-09-04,-0.04799521
2017-09-05,-0.039924145
2017-09-06,-0.022634268
2017-09-07,-0.029018283
2017-09-08,-0.017857552
2017-09-11,-0.013394594
2017-09-12,-0.018560052
2017-09-13,-0.013320923
2017-09-14,-0.012123108
2017-09-15,-0.007698059
2017-09-18,0.015762448
2017-09-19,0.024873257
2017-09-20,0.035218954
2017-09-21,0.007315159
2017-09-22,-0.014209747
2017-09-25,-0.043035746
2017-09-26,-0.050591707
2017-09-27,-0.052159667
2017-09-28,-0.0528394
2017-09-29,-0.038724065
2017-10-10,-0.047478795
2017-10-11,-0.03600061
2017-10-12,-0.0132706165
2017-10-13,-0.008455396
2017-10-16,-0.014544129
2017-10-17,-0.0057433844
2017-10-18,-0.0070364475
2017-10-19,-0.0022332668
2017-10-20,0.0043878555
2017-10-23,0.015700579
2017-10-24,0.01670003
2017-10-25,0.01157856
2017-10-26,-0.0052933693
2017-10-27,0.002336502
2017-10-30,-8.869171e-05
2017-10-31,0.052800655
2017-11-01,0.060869813
2017-11-02,0.04585731
2017-11-03,0.052277684
2017-11-06,0.055434108
2017-11-07,0.04812479
2017-11-08,0.05840671
2017-11-09,0.061156154
2017-11-10,0.050507426
2017-11-13,0.06720173
2017-11-14,0.081150174
2017-11-15,0.09382987
2017-11-16,0.11410487
2017-11-17,0.14875782
2017-11-20,0.17425263
2017-11-21,0.1905222
2017-11-22,0.14540827
2017-11-23,0.17186916
2017-11-24,0.17342126
2017-11-27,0.15890336
2017-11-28,0.14134955
2017-11-29,0.14290988
2017-11-30,0.16308618
2017-12-01,0.2323196
2017-12-04,0.24347162
2017-12-05,0.26914632
2017-12-06,0.30667794
2017-12-07,0.29548788
2017-12-08,0.30064106
2017-12-11,0.30127227
2017-12-12,0.3207847
2017-12-13,0.33193278
2017-12-14,0.34031415
2017-12-15,0.33673453
2017-12-18,0.3278085
2017-12-19,0.32777405
2017-12-20,0.28751576
2017-12-21,0.25586176
2017-12-22,0.25909626
2017-12-26,0.23381925
2017-12-27,0.30828214
2017-12-28,0.32762122
2018-01-02,0.21174991
2018-01-03,0.24829078
2018-01-04,0.26149964
2018-01-05,0.28949845
2018-01-08,0.32089972
2018-01-09,0.30512178
2018-01-10,0.31442642
2018-01-11,0.3174281
2018-01-12,0.32683587
2018-01-15,0.3923564
2018-01-16,0.4190861
2018-01-17,0.3836044
2018-01-18,0.41993022
2018-01-19,0.3994584
2018-01-22,0.39439452
2018-01-23,0.38357544
2018-01-24,0.40223646
2018-01-25,0.40073037
2018-01-26,0.42398
2018-01-29,0.42933822
2018-01-30,0.43163848
2018-01-31,0.41339397
2018-02-01,0.40769696
2018-02-02,0.4289174
2018-02-05,0.4085406
2018-02-06,0.39535964
2018-02-07,0.33855963
2018-02-08,0.45393217
2018-02-09,0.44148862
2018-02-12,0.4245224
2018-02-13,0.4300946
2018-02-14,0.45916975
2018-02-19,0.48673463
2018-02-20,0.5088582
2018-02-21,0.55199337
2018-02-22,0.5635102
2018-02-23,0.557945
2018-02-26,0.5533395
2018-02-27,0.54676414
2018-02-28,0.5473479
2018-03-02,0.5715797
2018-03-05,0.5760393
2018-03-06,0.58111596
2018-03-07,0.5440185
2018-03-08,0.58000016
2018-03-09,0.5737715
2018-03-12,0.61626744
2018-03-13,0.6411109
2018-03-14,0.67242503
2018-03-15,0.6908314
2018-03-16,0.73153496
2018-03-19,0.7114551
2018-03-20,0.73031783
2018-03-21,0.7250664
2018-03-22,0.667964
2018-03-23,0.6351156
2018-03-26,0.6634102
2018-03-27,0.6915388
2018-03-28,0.681669
