일자,기관 합계,기타법인,개인,외국인 합계,전체
2022.6.30,1877807,146141,9653758,3565803,1.52E+07
2022.6.29,1600184,120319,9322786,2894789,1.39E+07
2022.6.28,1601709,93959,9252993,2701461,1.37E+07
2022.6.27,1891454,129071,9034240,3315846,1.44E+07
2022.6.24,2616106,113540,8328454,3700013,1.48E+07
2022.6.23,3519182,160504,1.11E+07,4260862,1.91E+07
2022.6.22,2056064,130678,1.13E+07,3314631,1.68E+07
2022.6.21,2649658,96078,9005989,2613633,1.44E+07
2022.6.20,2828021,153227,1.09E+07,2508048,1.63E+07
2022.6.17,2504970,143485,1.08E+07,5418185,1.88E+07
2022.6.16,2509499,139037,1.09E+07,3310645,1.69E+07
2022.6.15,2493572,165925,1.25E+07,3204137,1.84E+07
2022.6.14,2855800,149507,1.19E+07,3666798,1.85E+07
2022.6.13,2178811,772676,1.28E+07,3081908,1.88E+07
2022.6.10,2255372,124808,1.08E+07,2468990,1.57E+07
2022.6.9,3995850,116008,1.08E+07,3597280,1.85E+07
2022.6.8,1774522,118023,1.01E+07,3238589,1.52E+07
2022.6.7,1529538,127241,1.13E+07,3111470,1.61E+07
2022.6.3,1751451,86399,1.03E+07,2413346,1.45E+07
2022.6.2,1405777,116523,9763069,3200085,1.45E+07
2022.5.31,2146917,128766,1.04E+07,8582472,2.13E+07
2022.5.30,2102476,145191,9050634,2897898,1.42E+07
2022.5.27,2135603,117308,1.03E+07,3072716,1.56E+07
2022.5.26,2344574,119379,1.06E+07,2955131,1.60E+07
2022.5.25,2568374,106769,1.00E+07,3015130,1.57E+07
2022.5.24,1823551,141379,1.24E+07,2600614,1.69E+07
2022.5.23,2002017,115004,1.11E+07,2821516,1.61E+07
2022.5.20,2596892,118010,1.17E+07,3402763,1.78E+07
2022.5.19,2083645,156791,1.26E+07,3467698,1.83E+07
2022.5.18,2124901,123786,1.17E+07,3729188,1.77E+07
2022.5.17,2364172,101136,1.02E+07,2930000,1.56E+07
2022.5.16,1874416,146374,1.01E+07,2766818,1.49E+07
2022.5.13,2641184,115588,1.13E+07,3643587,1.77E+07
