일자,기관 합계,기타법인,개인,외국인 합계,전체
2022.6.30,2278310,139093,8864494,3961612,1.52E+07
2022.6.29,2235298,87664,8339796,3275319,1.39E+07
2022.6.28,1722058,79299,8876478,2972286,1.37E+07
2022.6.27,2149621,106607,9054069,3060314,1.44E+07
2022.6.24,1840491,99917,9464034,3353672,1.48E+07
2022.6.23,2594226,133421,1.19E+07,4480875,1.91E+07
2022.6.22,2195883,124328,1.08E+07,3685489,1.68E+07
2022.6.21,2054388,96484,9371203,2843282,1.44E+07
2022.6.20,2330629,128844,1.06E+07,3327679,1.63E+07
2022.6.17,2557375,104952,1.04E+07,5746422,1.88E+07
2022.6.16,2435176,119433,1.13E+07,3038165,1.69E+07
2022.6.15,2347253,122716,1.21E+07,3824697,1.84E+07
2022.6.14,2567850,93814,1.19E+07,3943056,1.85E+07
2022.6.13,2467216,726519,1.21E+07,3533040,1.88E+07
2022.6.10,2558827,99982,9660822,3367052,1.57E+07
2022.6.9,3417954,107663,1.03E+07,4652925,1.85E+07
2022.6.8,1797178,86306,9987977,3336407,1.52E+07
2022.6.7,2504415,96605,1.01E+07,3418018,1.61E+07
2022.6.3,1415842,124732,1.04E+07,2571315,1.45E+07
2022.6.2,2205445,84273,8852996,3342740,1.45E+07
2022.5.31,2739205,141448,1.09E+07,7527002,2.13E+07
2022.5.30,1580058,192428,9972245,2451468,1.42E+07
2022.5.27,1514946,251366,1.10E+07,2898317,1.56E+07
2022.5.26,2473905,149339,1.05E+07,2933879,1.60E+07
2022.5.25,2007009,144040,1.05E+07,3078439,1.57E+07
2022.5.24,2236977,136707,1.16E+07,2957899,1.69E+07
2022.5.23,1873227,116349,1.12E+07,2914754,1.61E+07
2022.5.20,1655726,116988,1.30E+07,3098180,1.78E+07
2022.5.19,2624912,106227,1.20E+07,3547351,1.83E+07
2022.5.18,2561252,97561,1.16E+07,3435812,1.77E+07
2022.5.17,1734637,283699,1.06E+07,2985093,1.56E+07
2022.5.16,1979514,95618,9988737,2787139,1.49E+07
