날짜,댓글,조회수,좋아요,싫어요
2022-07-11 13:35,제발 오르지 마라,20,0,0
2022-07-11 12:09,대박 ~백만을 향해가는 헤어질결심,50,0,0
2022-07-11 11:55,널 믿는다 ~찔금찔금 오르다 한방에 8만...,55,0,0
2022-07-11 11:51,월말 집판돈 들어오기로 했는데~그때까지만...,38,0,0
2022-07-11 11:32,여기에 투자해서 남는건 뭘까?,44,1,0
2022-07-11 10:13,주식은 사는 겁니다.,128,0,1
2022-07-10 19:19,합병 ㅊㅋㅊㅋ,477,0,1
2022-07-10 18:50,칸에서 상타면 뭐하나,178,0,1
2022-07-10 18:09,우영우 잼있드라. 넷플릭스 가입.,212,1,0
2022-07-09 09:27,티빙 시즌 흡수 합병 !,545,1,1
2022-07-09 03:35,주식은 사는 겁니다.,285,0,5
2022-07-09 00:25,LIKEBEE  네이버에,483,2,1
2022-07-08 17:09,엿같은 회사~~~,339,8,0
2022-07-08 16:09,아직도 손절안했습니까,188,1,2
2022-07-08 14:20,영업이익 감소예상?,199,1,0
2022-07-08 12:35,아베 총 맞아서 죽었다고 하네요.,739,0,7
2022-07-08 11:48,공매놈들 50프로 넘게 먹었네~,192,0,1
2022-07-08 11:44,13.9,509,4,1
2022-07-08 11:42,지금도 바닥이다,170,1,0
2022-07-08 11:40,이엔엠. 가치 부각 해야 할것들(소속 엔...,342,6,0
2022-07-08 11:30,CJ ENM이 올라가는 이유,761,3,5
2022-07-08 17:45,답글:CJ ENM이 올라가는 이유,454,0,0
2022-07-08 10:16,근데 유통,206,2,2
2022-07-08 09:25,답글:[삭제된 게시물의 답글]야 반지하,578,1,1
2022-07-07 20:18,나의 해방일지,398,0,3
2022-07-07 15:50,빠진다고 해짜나.,236,2,0
2022-07-07 14:39,둘중 하나지 뭐,390,4,0
2022-07-07 14:34,볼린저 대바닥,213,1,3
2022-07-07 14:28,많이 올랐으니 낼 부터 조정 들어가지 않...,182,2,0
2022-07-07 14:12,엔하이픈 발매 2틀만에 100만장 돌파,157,1,1
2022-07-07 14:11,어제혹시,114,0,0
2022-07-07 14:01,개미 꼬시기ㅜㅜ,126,1,0
2022-07-07 13:58,상한가다 ㄷㄷ,105,0,1
2022-07-07 12:29,다른 종목 30프로 오를때,168,3,0
2022-07-07 12:25,지수가 반등한다고 생각하면,136,2,0
2022-07-07 12:10,135천원에서 올인한 내가 미쳤지~,197,0,0
2022-07-07 12:09,이종목 1프로 상승은 기적이다,96,1,0
2022-07-07 13:54,답글:이종목  2프로 상승은,555,0,0
2022-07-07 14:15,답글:이종목  3프로 상승은,540,0,0
2022-07-07 12:02,죽어버린주식,126,2,0
2022-07-07 10:51,늘 똑같네 에휴,105,0,0
2022-07-07 09:26,이엔엠 ir담당자,124,0,0
2022-07-07 09:24,코스닥 코스피 시총 1조 이상 종목중에,166,2,0
2022-07-07 09:20,지수 올라봤자 뭐 먹을거 있냐,143,2,0
2022-07-07 09:15,호재될만한 소식앞으로없나요,103,0,0
2022-07-07 03:51,검찰은 진실을 밝혀라~~,227,5,3
2022-07-06 22:16,이재현,344,7,1
2022-07-06 19:13,담주까지 8만초반봄,217,2,2
2022-07-06 17:28,경고했지요 이거 결국은 7만원이하로 간다...,161,2,0
2022-07-06 16:49,정확히 9만원부터 철저히 분활 매수시작 ...,282,3,0
2022-07-06 16:23,프로미스나인도 cj enm에서 벗어나 하...,211,2,0
2022-07-06 16:12,장기적으로 3만원후반대,135,2,0
2022-07-06 16:03,Cj 홈쇼핑,119,1,0
2022-07-06 16:02,시총 2조깨졌네,90,0,0
2022-07-06 16:01,고평가 종목이라 오늘 공매도 엄청 들어왔...,135,2,0
2022-07-06 15:49,자자,110,1,0
2022-07-06 15:43,답글:[삭제된 게시물의 답글]와 처박으니까 좀...,243,0,0
2022-07-06 15:07,비명소리가 여기까지 들리네ㅎㅎ,93,0,0
2022-07-06 14:55,cjenm 직원 관리직급들 이글 봐라(과...,225,3,0
2022-07-06 14:11,진지하게 최악의 주식중 하나임,161,8,0
2022-07-06 13:41,8만간다,179,0,2
2022-07-06 13:20,자자,113,1,1
2022-07-06 12:24,재현이가 죽어야 올라갈려나,147,4,0
2022-07-06 12:00,인생 살면서 제일 쓰레기 종목,155,4,1
2022-07-06 11:44,코스닥 시총상위중 제일 무관심종목,214,5,0
2022-07-06 11:22,오늘도 틀니 총동원 늙다리들 지마눌치매에,89,0,0
2022-07-06 11:06,외인들이 바스켓에 담지도 않아,135,2,1
2022-07-06 10:46,어제 3분의2 손절쳐서 종목 갈아탔는데,170,3,0
